pickup_hour,trip_distance,fare_amount,total_amount,passenger_count,trip_volume
2024-11-23 18:00:00,2.692570028757056,17.738775162424112,24.85002449675152,1,9389
2024-11-23 19:00:00,2.6385473987744805,17.385845248107657,24.36748888621891,1,8323
2024-11-23 20:00:00,29.388957985742454,18.662922796905807,27.01791748824511,1,6593
2024-11-23 21:00:00,2.982934456661431,17.720845351992004,26.00343852634585,2,7003
2024-11-23 22:00:00,2.9549547539357874,17.711943721333828,25.70173670509483,2,8067
2024-11-23 23:00:00,3.1230555555555557,18.06079347826087,25.81228381642512,1,8280
2024-11-24 00:00:00,3.1983227987652505,17.570757018962222,25.010680582096136,1,6803
2024-11-24 01:00:00,2.672489270386266,15.297093250097541,22.542097151775263,1,5126
2024-11-24 02:00:00,2.7173541167066344,14.959738875566215,21.9462483346656,1,3753
2024-11-24 03:00:00,2.9851382765531063,15.618917835671342,22.663442885771545,1,2495
2024-11-24 04:00:00,3.8122282980177715,18.761045796308956,26.31235133287765,1,1463
2024-11-24 05:00:00,6.606157024793388,27.25910468319559,36.81951790633609,1,726
2024-11-24 07:00:00,63.25279590531031,22.748144593730004,31.62703134996801,1,1563
2024-11-24 08:00:00,4.1303130671506345,19.710285843920147,27.772586206896552,1,2204
2024-11-24 09:00:00,3.479517129754518,17.18563258699757,24.649088211491772,1,3707
2024-11-24 10:00:00,3.2986726368159207,17.11384278606965,24.695096517412935,1,5025
2024-11-24 11:00:00,3.117580985915493,17.061,24.7654735915493,1,5680
2024-11-24 12:00:00,3.186263819475996,17.808758140239284,25.52352567014993,1,6603
2024-11-24 13:00:00,3.446738216098622,19.308861493836115,27.248860043509787,1,6895
2024-11-24 14:00:00,30.36855212077642,19.334609633357296,27.385028037383176,1,6955
2024-11-24 15:00:00,3.5950474244856268,20.30743470013133,28.579487815555233,1,6853
2024-11-24 16:00:00,3.6505845541174793,20.633421988337364,28.87946664770303,1,7031
2024-11-24 17:00:00,3.203110665137615,19.25333858944954,27.17654099770642,1,6976
2024-11-24 18:00:00,3.190819956616052,18.725511207519883,26.40765003615329,1,6915
2024-11-24 19:00:00,3.761113023522662,19.82936316695353,28.005603365844326,1,5229
2024-11-24 20:00:00,3.8165960125918157,18.86538300104932,27.705859391395595,1,4765
2024-11-24 21:00:00,3.9669860507660646,19.006384632975074,28.1219689000686,1,4373
2024-11-24 22:00:00,4.283369686800895,19.84907438478747,28.777421700223712,1,3576
2024-11-24 23:00:00,4.6492304804804805,21.05090840840841,30.502567567567567,1,2664
2024-11-25 00:00:00,4.773745819397993,20.97247491638796,29.67096989966555,1,1495
2024-11-25 01:00:00,3.649298245614035,16.6940350877193,23.880491228070174,1,570
2024-11-25 02:00:00,4.042061538461539,17.42606153846154,24.94264615384615,1,325
2024-11-25 03:00:00,4.9207786885245905,22.130532786885247,29.974918032786885,1,244
2024-11-25 04:00:00,7.105738161559889,29.95044568245125,40.548412256267405,1,359
2024-11-25 05:00:00,6.501741424802111,27.152757255936677,36.49939313984169,1,758
2024-11-25 06:00:00,4.6373223140495865,20.65302479338843,28.285603305785127,1,1815
2024-11-25 07:00:00,6.707974337974338,17.892042042042043,25.284518154518157,1,3663
2024-11-25 08:00:00,11.065333333333333,17.431831794871794,24.595210256410255,1,4875
2024-11-25 09:00:00,12.735417726472313,17.82091175895128,25.313911171982,1,5111
2024-11-25 10:00:00,2.9930745756246426,18.368130841121495,26.187499523173756,1,5243
2024-11-25 11:00:00,2.9512838306731437,18.5567973629424,26.26993754337266,1,5764
2024-11-25 12:00:00,3.0549664649108457,18.776329134631112,26.544564043840996,1,6113
2024-11-25 13:00:00,3.177650055723611,19.789391816589713,27.587750358223214,1,6281
2024-11-25 14:00:00,3.3648602057076635,20.756169781254528,29.055980008691872,1,6903
2024-11-25 15:00:00,3.1375861593603527,19.65481665288117,27.63390405293631,1,7254
2024-11-25 16:00:00,3.2108173477898245,19.90776063386155,30.530813177648042,1,7194
2024-11-25 17:00:00,2.7346890691386636,18.171799922750097,28.14457963177546,1,7767
2024-11-25 18:00:00,2.623782129742962,16.624764993880046,26.346552019583843,1,8170
2024-11-25 19:00:00,3.1044004637297116,16.975322954620736,26.937755879430277,1,6038
2024-11-25 20:00:00,3.2519974692697033,16.905509761388288,25.546409978308024,1,5532
2024-11-25 21:00:00,3.22046682626539,16.88220417236662,25.315873803009577,1,5848
2024-11-25 22:00:00,3.6703320772491757,18.122298634008477,26.722119642016015,1,4246
2024-11-25 23:00:00,11.633599840891012,19.812406523468574,28.8280708035004,1,2514
2024-11-26 00:00:00,4.150810810810811,19.379387917329094,27.694284578696347,1,1258
2024-11-26 01:00:00,4.323259141494436,19.85616852146264,27.539634340222577,1,629
2024-11-26 02:00:00,3.6640753424657535,16.45808219178082,23.812157534246573,1,292
2024-11-26 03:00:00,5.377399103139014,23.26457399103139,31.78318385650224,1,223
2024-11-26 04:00:00,92.85716981132076,32.34125786163522,43.60788259958071,1,477
2024-11-26 05:00:00,5.850710784313726,26.252696078431374,35.568627450980394,1,816
2024-11-26 06:00:00,4.329077747989276,20.047013404825737,27.364225201072387,1,1865
2024-11-26 07:00:00,3.100348864994026,17.624817204301074,24.824217443249704,1,4185
2024-11-26 08:00:00,14.970450813323005,17.12041363284276,24.136010844306742,1,6455
